id,type_id,activity_id
1,1,10
2,1,26
3,1,15
4,1,16
5,1,30
6,1,17
7,1,18
8,2,1
9,2,2
10,2,3
11,2,4
12,2,5
13,2,6
14,2,7
15,2,8
16,2,9
17,2,11
18,2,12
19,2,13
20,2,14
21,2,17
22,2,18
23,2,19
24,2,20
25,2,21
26,2,22
27,2,23
28,2,24
29,2,25
30,2,27
31,2,28
32,2,29
33,3,13
34,3,25
35,4,10
36,4,18
37,4,29
38,5,26
39,5,15
40,5,12
41,5,24
42,5,23
43,5,20
44,5,17
45,5,28
46,6,23
47,6,24
48,6,5
49,7,21
50,7,18
51,8,8
52,8,27
53,8,25
54,8,22
55,8,4
56,9,7
57,9,9
58,9,6
59,9,19
60,9,20
61,9,28
62,10,2
63,10,14
64,10,27
65,11,1
66,11,2
67,11,3
68,11,4
69,11,6
70,11,7
71,11,8
72,11,9
73,11,10
74,11,12
75,11,13
76,11,14
77,11,15
78,11,16
79,11,17
80,11,18
81,11,19
82,11,20
83,11,21
84,11,22
85,11,25
86,11,26
87,11,28
88,11,29
89,11,30
90,12,11
91,12,23
92,12,24
93,12,5
94,12,27
